PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Komai, T				Komai, T			Spermatogenesis of Squilla oratoria De Haan	JOURNAL OF MORPHOLOGY			English	Article									Tokyo Univ, Zool Inst, Sci Dept, Tokyo, Japan							ANDREWS EA, 1904, ANAT ANZ, V25; BINFORD R, 1913, J MORPH, V24; BRANDES G, 1897, SITZ K PREUSS ACAD W; CARNOY JB, 1885, CELLULE, V1; FASTEN N, 1918, BIOL B, V34; FASTEN N, 1914, J MORPH, V25; GILSON G, 1886, CELLULE, V2; GREGOIRE V, 1910, CELLULE, V26; GROBBEN C, 1878, ARB ZOOL I WIEN, V1; GROBBEN C, 1906, ARB ZOOL I WIEN, V16; GROBBEN C, 1876, SITZ ACAD WISS MN, V74; KOLTZOFF N, 1906, ARCH MIKR ANAT, V67; KOLTZOFF NK, 1903, ANAT ANZ, V24; KOSTER H, 1910, ZOOL ANZ, V35; KOSTER H, 1906, THESIS MARBURG; LABBE A, 1903, C R ACAD SCI PARIS, V137; LABBE A, 1904, ARCH ZOOL EXP 4, V2; MONTGOMERY TH, 1911, J MORPH, V22; NICHOLS M, 1906, BIOL B, V12; NICHOLS M, 1902, P AM PHILOS SOC, V41; NICHOLS M, 1909, J MORPH, V22; REINHARD L, 1913, ARCH ZELLFORSCH, V10; RETZIUS G, 1909, BIOL UNTERSUCH, V14; SPITSCHAKOFF T, 1909, ARCH ZELLFORSCH, V3; WENRICH DH, 1916, B MUS COMP ZOOL HARV, V60; WILSON EB, 1912, J EXP ZOOL, V13; WILSON EF, 1913, BIOL B, V24	27	12	12	WILEY-LISS	HOBOKEN	DIV JOHN WILEY & SONS INC, 111 RIVER ST, HOBOKEN, NJ 07030 USA	0362-2525			J MORPHOL	J. Morphol.	SEP	1920	34	2					307	+				28	Anatomy & Morphology	Anatomy & Morphology	V08JM	WOS:000200565400003		
J	Takeda, M				Takeda, M			On the protective action of some organic substances on catalase in acid medium	AMERICAN JOURNAL OF PHYSIOLOGY			English	Article									Imperial Univ Tokyo, Lab Forens Med, Tokyo, Japan							BURNETT, 1918, AM J PHYSIOL, V46, P67; LOEVENHART, 1905, AM J PHYSIOL, V13, P171	2	1	1	AMER PHYSIOLOGICAL SOC	BETHESDA	9650 ROCKVILLE PIKE, BETHESDA, MD 20814 USA	0002-9513			AM J PHYSIOL	Am. J. Physiol.	JAN	1920	50	4					520	526				7	Physiology	Physiology	V35KF	WOS:000202392500003		
