PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Maki, K; Takayama, H				Maki, Kazumi; Takayama, Hajime			Dynamical Fluctuation of the Order Parameter and Diamagnetism of Superconductors. I. Dirty Limit	JOURNAL OF LOW TEMPERATURE PHYSICS			English	Article								Limiting ourselves to dirty superconductors, we study theoretically the fluctuation-induced diamagnetism above the superconducting transition. We find that the dynamical fluctuation is extremely important except in the immediate vicinity of the transition region [i.e., T congruent to T-c(H) or H congruent to H-c2(T), where H-c2 is the upper critical field] and that this contribution does account for a large discrepancy between previous calculations and the recent experiment by Gollub, Beasley, and Tinkham.	[Maki, Kazumi] Tohoku Univ, Dept Phys, Sendai, Miyagi 980, Japan; [Takayama, Hajime] Univ Tokyo, Dept Phys, Tokyo 113, Japan	Maki, K (reprint author), Tohoku Univ, Dept Phys, Sendai, Miyagi 980, Japan.				Research Institute for Fundamental Physics, Kyoto University	This work is carried out as a part of the research project "Fluctuation in Superconductors" proposed by the Research Institute for Fundamental Physics, Kyoto University. We are grateful for their financial support.	SCHMIDT H, 1968, Z PHYS, V216, P336, DOI 10.1007/BF01391528; SCHMID A, 1969, PHYS REV, V180, P527, DOI 10.1103/PhysRev.180.527; SCHMID A, 1966, PHYS KONDENS MATER, V5, P302, DOI 10.1007/BF02422669; MAKI K, 1968, PROG THEOR PHYS, V39, P897, DOI 10.1143/PTP.39.897; GOLLUB JP, 1969, PHYS REV LETT, V22, P1288, DOI 10.1103/PhysRevLett.22.1288; PATTON BR, 1969, SOLID STATE COMMUN, V7, P1287, DOI 10.1016/0038-1098(69)90354-8; GOLLUB JP, 1970, PHYS REV LETT, V25, P1646, DOI 10.1103/PhysRevLett.25.1646; DOLL R, 1969, PHYS LETT A, VA 29, P534, DOI 10.1016/0375-9601(69)90421-6; LANGER JS, 1964, PHYS REV, V134, pA553, DOI 10.1103/PhysRev.134.A553; PRANGE RE, 1970, PHYS REV B-SOLID ST, V1, P2349, DOI 10.1103/PhysRevB.1.2349; SCALAPIN.DJ, 1970, PHYS REV LETT, V24, P1052, DOI 10.1103/PhysRevLett.24.1052; Takayama H., PROGR THEOR IN PRESS; TAKAYAMA H, 1970, PROG THEOR PHYS, V43, P1445, DOI 10.1143/PTP.43.1445; Vant-Hull L. L., 1969, INT C SCI SUP STANF; YAMAJI K, 1969, PHYS LETT A, VA 29, P123, DOI 10.1016/0375-9601(69)90065-6	15	24	24	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0022-2291	1573-7357		J LOW TEMP PHYS	J. Low Temp. Phys.	SEP	1971	5	3					313	323		10.1007/BF00629707		11	Physics, Applied; Physics, Condensed Matter	Physics	V41MF	WOS:000209549600005		
J	Iguchi, I				Iguchi, Ienari			Model for Quantum Scattering of Rotons. II. Two-Dimensional Interaction	JOURNAL OF LOW TEMPERATURE PHYSICS			English	Article								A speculative roton Hamiltonian is used to calculate scattering cross sections in the two-dimensional problem. For the hard-cylinder interaction, one gets the same result as that obtained by the usual wave scattering in the high-energy limit. The variational calculation for the roton-vortex interaction P . v(s) yields the temperature-independent momentum-transfer cross section sigma(T) approximate to 8 angstrom, improving the results obtained before by other methods.	[Iguchi, Ienari] Univ Tokyo, Dept Nucl Engn, Tokyo 113, Japan	Iguchi, I (reprint author), Univ Tokyo, Dept Nucl Engn, 7-3-1 Hongo, Tokyo 113, Japan.						HALL HE, 1956, PROC R SOC LON SER-A, V238, P215, DOI 10.1098/rspa.1956.0215; Fetter A. L., 1969, LECTURES THEORETIC B, VXI-B, P321; GLABERSO.WI, 1968, PHYS REV LETT, V21, P1740, DOI 10.1103/PhysRevLett.21.1740; Goldberger M. L., 1964, COLLISION THEORY; Goldberger M. L., 1964, COLLISION THEORY, P320; Iguchi I, 1971, J LOW TEMP PHYS, V4, P637, DOI 10.1007/BF00628298; LIFSHITZ EM, 1958, SOV PHYS JETP-USSR, V6, P418; Morse P. M., 1953, METHODS THEORETICAL; Schiff L. I., 1968, QUANTUM MECH; Titus W. J., 1968, THESIS; TITUS WJ, 1970, PHYS REV A, V2, P206, DOI 10.1103/PhysRevA.2.206	11	1	1	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0022-2291	1573-7357		J LOW TEMP PHYS	J. Low Temp. Phys.	SEP	1971	5	3					353	362		10.1007/BF00629710		10	Physics, Applied; Physics, Condensed Matter	Physics	V41MF	WOS:000209549600008		
J	Yoshihara, K; Kasuya, T; Inoue, A; Nagakura, S				Yoshihara, K.; Kasuya, T.; Inoue, A.; Nagakura, S.			Time resolved spectra of pyrene excimer and pyrene-dimethylaniline exciplex	CHEMICAL PHYSICS LETTERS			English	Article								Time-resolved fluorescence spectra were measured for pyrene and for the pyrene-N. N-dimethylaniline system in the range from 3 nsec to 150 nsec after the excitation by a nitrogen gas laser. By the aid of the spectra, we could follow the formation and decay processes of the pyrene excimer or the pyrene-N. N-dimethylaniline exciplex. The rate constants were determined for the exciplex formation and decay processes.	[Yoshihara, K.; Kasuya, T.] Inst Phys & Chem Res, Wako, Saitama, Japan; [Inoue, A.; Nagakura, S.] Univ Tokyo, Inst Solid State Phys, Minato Ku, Tokyo, Japan	Yoshihara, K (reprint author), Inst Phys & Chem Res, Wako, Saitama, Japan.						BIRKS JB, 1963, PROC R SOC LON SER-A, V275, P575, DOI 10.1098/rspa.1963.0187; FORSTER T, 1954, Z PHYS CHEM, V1, P19; GELLER M, 1966, J APPL PHYS, V37, P3639, DOI 10.1063/1.1708928; LEONHARDT H, 1963, BERICH BUNSEN GESELL, V67, P791; MATAGA N, 1966, MOL PHYS, V10, P203, DOI 10.1080/00268976600100261; MAZAGA N, 1967, CHEM PHYS LETT, V1, P119; SPEED R, 1969, AUST J CHEM, V22, P9, DOI 10.1071/CH9690009; WARE WR, 1968, J CHEM PHYS, V48, P1595, DOI 10.1063/1.1668881	8	33	33	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0009-2614			CHEM PHYS LETT	Chem. Phys. Lett.	JUN	1971	9	5					469	472		10.1016/0009-2614(71)80272-5		4	Chemistry, Physical; Physics, Atomic, Molecular & Chemical	Chemistry; Physics	V44LQ	WOS:000203004600029		
J	Sugawara, T; Yoshida, S				Sugawara, T.; Yoshida, S.			Kondo Effect in Single Crystals of Dilute Y-Ce Alloys	JOURNAL OF LOW TEMPERATURE PHYSICS			English	Article								The magnetic susceptibility and electrical resistivity of Ce impurities in single crystals of Y-Ce alloys were measured at temperatures down to 1.5 K in the directions parallel and perpendicular to the c axis of the crystal. The experimental results were interpreted in terms of the Kondo effect and the crystal-field effect. The data show that the crystal field of Y splits the F-2(5/2) ground state of the Ce3+ ion into three doublets, the lowest doublet specified by J(z) = +/- 1/2. The susceptibility, resistivity, and specific heat results at low temperatures show evidence for the existence of a bound state due to the anisotropic Kondo interaction. Analysis of the low-temperature resistivity data yields a Kondo temperature of 40 K, which is independent of the current direction and the Ce concentration. The susceptibility and the resistivity at 0 K are nearly isotropic.	[Sugawara, T.; Yoshida, S.] Univ Tokyo, Inst Solid State Phys, Tokyo, Japan	Sugawara, T (reprint author), Univ Tokyo, Inst Solid State Phys, Tokyo, Japan.						MIWA H, 1966, PHYS LETT, V22, P394, DOI 10.1016/0031-9163(66)91194-2; COQBLIN B, 1969, PHYS REV, V185, P847, DOI 10.1103/PhysRev.185.847; van Dam JE, 1970, PHYS STATUS SOLIDI A, V3, P11, DOI 10.1002/pssa.19700030102; HALL PM, 1959, PHYS REV, V116, P1446, DOI 10.1103/PhysRev.116.1446; LOUCKS TL, 1966, PHYS REV, V144, P504, DOI 10.1103/PhysRev.144.504; GUPTA RP, 1968, PHYS REV, V176, P848, DOI 10.1103/PhysRev.176.848; BROCK JCF, 1970, SOLID STATE COMMUN, V8, P1139, DOI 10.1016/0038-1098(70)90013-X; NAGASAWA H, 1968, PHYS LETT A, VA 26, P561, DOI 10.1016/0375-9601(68)90548-3; DAYBELL MD, 1968, PHYS REV LETT, V21, P353, DOI 10.1103/PhysRevLett.21.353; BOERSTOE.BM, 1969, PHYS LETT A, VA 29, P97, DOI 10.1016/0375-9601(69)91056-1; ELLIOTT RJ, 1952, PROC R SOC LON SER-A, V215, P437, DOI 10.1098/rspa.1952.0223; Heeger J. A., 1969, SOLID STATE PHYS, V23, P284; Kasuya T., 1966, MAGNETISM B, VIIB, P271; Low W., 1960, SOLID STATE PHYS, V2; Okiji A., PROGR THE S IN PRESS; SATOH T, 1967, J PHYS SOC JPN, V23, P9, DOI 10.1143/JPSJ.23.9; SHIBA H, 1970, PROG THEOR PHYS, V43, P601, DOI 10.1143/PTP.43.601; SUGAWARA T, 1968, J PHYS SOC JPN, V24, P1399, DOI 10.1143/JPSJ.24.1399; TAMARIN PV, 1969, SOV PHYS JETP-USSR, V28, P836; Volkenstein M. V., 1969, SOV PHYS JETP, V29, P79; Yoshida S., IN PRESS; Yoshida S., 1968, PHYS LETT A, V30A, P422	22	33	33	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0022-2291	1573-7357		J LOW TEMP PHYS	J. Low Temp. Phys.	JUN	1971	4	6					657	667		10.1007/BF00628299		11	Physics, Applied; Physics, Condensed Matter	Physics	V41MC	WOS:000209549300006		
J	Hayashi, H; Morigaki, K; Nagakura, S				Hayashi, H.; Morigaki, K.; Nagakura, S.			Optical detection ESR for the n pi* triplet state of benzil	CHEMICAL PHYSICS LETTERS			English	Article								We have observed the ESR spectrum of the n pi* triplet state of benzil in a benzophenone single crystal with the optical detection method. T he principal values and axes of its fine structure tensor are obtained. The fine structure parameters are vertical bar D vertical bar = 0.092 cm(-1) and vertical bar E vertical bar = 0.021 cm(-1).	[Hayashi, H.; Morigaki, K.; Nagakura, S.] Univ Tokyo, Inst Solid State Phys, Minato Ku, Tokyo, Japan; [Hayashi, H.] Inst Phys & Chem Res, Saitama, Japan	Hayashi, H (reprint author), Univ Tokyo, Inst Solid State Phys, Minato Ku, Tokyo, Japan.						ERMOLAEV VL, 1956, OPT SPEKTROSK+, V1, P523; FLEISCHE.EB, 1968, J PHYS CHEM-US, V72, P4311, DOI 10.1021/j100858a065; Hirota N, 1969, CHEM PHYS LETT, V4, P305, DOI 10.1016/0009-2614(69)80192-2; MORIGAKI K, 1970, SOLID STATE PHYS, V5, P528; Sharnoff M, 1968, CHEM PHYS LETT, V2, P498, DOI 10.1016/0009-2614(65)80022-7; SHARNOFF M, 1967, J CHEM PHYS, V46, P3263, DOI 10.1063/1.1841199	6	6	6	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0009-2614			CHEM PHYS LETT	Chem. Phys. Lett.	APR 15	1971	9	2					119	120		10.1016/0009-2614(71)80201-4		2	Chemistry, Physical; Physics, Atomic, Molecular & Chemical	Chemistry; Physics	V44LN	WOS:000203004300009		
J	Kihara, T; Yamazaki, K; Jhon, MS; Kim, UR				Kihara, T.; Yamazaki, K.; Jhon, M. S.; Kim, U. R.			Core-potential parameters of intermolecular forces	CHEMICAL PHYSICS LETTERS			English	Article								The core potential of intermolecular forces. which considers the size and shape of molecules. is determined for fifteen kinds of nonpolar molecules by making use of the second viral coefficient compiled by Dymond and Smith.	[Kihara, T.; Yamazaki, K.] Univ Tokyo, Fac Sci, Dept Phys, Tokyo 113, Japan; [Jhon, M. S.; Kim, U. R.] Dong Guk Univ, Seoul, South Korea; [Jhon, M. S.; Kim, U. R.] Korea Inst Sci & Technol, Seoul, South Korea	Kihara, T (reprint author), Univ Tokyo, Fac Sci, Dept Phys, 7-3-1 Hongo, Tokyo 113, Japan.						KIHARA T, 1953, REV MOD PHYS, V25, P831, DOI 10.1103/RevModPhys.25.831; CONNOLLY JF, 1961, PHYS FLUIDS, V4, P1494, DOI 10.1063/1.1706249; CONNOLLY JF, 1960, PHYS FLUIDS, V3, P463, DOI 10.1063/1.1706060; Dymond J. H., 1969, VIRIAL COEFFICIENTS; Kihara T, 1970, CHEM PHYS LETT, V7, P559, DOI 10.1016/0009-2614(70)87002-6; KIHARA T, 1967, PROG THEOR PHYS SUPP, V40, P177, DOI 10.1143/PTPS.40.177; KIHARA T, 1970, PHYS CHEM, V5; KIHARA T, 1963, ADV CHEM PHYS, V5, P147, DOI 10.1002/9780470143513.ch3	8	5	5	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0009-2614			CHEM PHYS LETT	Chem. Phys. Lett.	APR 1	1971	9	1					62	64		10.1016/0009-2614(71)80183-5		3	Chemistry, Physical; Physics, Atomic, Molecular & Chemical	Chemistry; Physics	V44LM	WOS:000203004200019		
J	Wada, A				Wada, A.			Dielectric evidence of chemical relaxation in the helix-coil transition of polypeptides	CHEMICAL PHYSICS LETTERS			English	Article								Two dielectric relaxations, in addition to the orientation relaxation, are found in the helx-coil transition region of poly-beta-benzyl-L-aspertate in m-cresol solution, which are believed to be manifestations of chemical relaxation coming from the transition with and without nucleation.	Univ Tokyo, Fac Sci, Dept Phys, Bunkyo Ku, Tokyo, Japan	Wada, A (reprint author), Univ Tokyo, Fac Sci, Dept Phys, Bunkyo Ku, Tokyo, Japan.						ZIMM BH, 1959, J CHEM PHYS, V31, P526, DOI 10.1063/1.1730390; HAYASHI Y, 1969, BIOPOLYMERS, V8, P403, DOI 10.1002/bip.1969.360080310; SCHWARZ G, 1968, BIOPOLYMERS, V6, P1263, DOI 10.1002/bip.1968.360060904; ULLMAN R, 1970, BIOPOLYMERS, V9, P471, DOI 10.1002/bip.1970.360090409; WADA A, 1967, POLY ALPHA AMINO ACI; WADA A, 1960, B CHEM SOC JPN, V33, P822, DOI 10.1246/bcsj.33.822; WADA A, 1960, J POLYM SCI, V45, P145, DOI 10.1002/pol.1960.1204514513; WATANABE H, 1964, BIOPOLYMERS, V2, P91, DOI 10.1002/bip.1964.360020112	8	19	19	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0009-2614			CHEM PHYS LETT	Chem. Phys. Lett.	JAN 15	1971	8	2					211	213		10.1016/0009-2614(71)80016-7		3	Chemistry, Physical; Physics, Atomic, Molecular & Chemical	Chemistry; Physics	V44LH	WOS:000203003700016		
J	Kihara, T; Okutani, J				Kihara, T.; Okutani, J.			Critical temperature as accumulation point of least zeros of cluster coefficients	CHEMICAL PHYSICS LETTERS			English	Article								It is shown that the accumulation point of least zeros of the cluster coefficients (i.e. the coefficients of Ursell-Mayer's fugacity expansion) coincides with the critical temperature. Observed values of the virial coefficients of argon and krypton are represented from this point of view.	[Kihara, T.; Okutani, J.] Univ Tokyo, Fac Sci, Dept Phys, Tokyo 113, Japan	Kihara, T (reprint author), Univ Tokyo, Fac Sci, Dept Phys, Tokyo 113, Japan.						KADANOFF LP, 1967, REV MOD PHYS, V39, P395, DOI 10.1103/RevModPhys.39.395; Born M, 1938, PROC R SOC LON SER-A, V166, P0391, DOI 10.1098/rspa.1938.0100; KATSURA S, 1955, PROG THEOR PHYS, V13, P571, DOI 10.1143/PTP.13.571; KIHARA T, 1958, ADV CHEM PHYS, V1, P267; KIHARA T, 1957, J PHYS SOC JPN, V12, P994, DOI 10.1143/JPSJ.12.994; Landau L.D., 1968, STAT PHYS; MICHELS A, 1949, PHYSICA, V15, P627, DOI 10.1016/0031-8914(49)90119-6; TRAPPENI.NJ, 1966, PHYSICA, V32, P1503, DOI 10.1016/0031-8914(66)90032-2	8	5	5	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0009-2614			CHEM PHYS LETT	Chem. Phys. Lett.	JAN	1971	8	1					63	66		10.1016/0009-2614(71)80576-6		4	Chemistry, Physical; Physics, Atomic, Molecular & Chemical	Chemistry; Physics	V44LG	WOS:000203003600017		
J	ETO, S				ETO, S			CURRENT TASKS FACING PEOPLES REPUBLIC OF CHINA	CHINESE LAW AND GOVERNMENT			English	Article									TOKYO UNIV,TOKYO,JAPAN; TOKYO METROPOLITAN UNIV,TOKYO,JAPAN							ETO S, 1969, SEKAI NO NAKA NO CHU, P10	1	0	0	M E SHARPE INC	ARMONK	80 BUSINESS PARK DR, ARMONK, NY 10504	0009-4609			CHINESE LAW GOV	Chin. Law Gov.		1971	4	1-2					82	114				33	Law; Political Science	Government & Law	Y0104	WOS:A1971Y010400004		
J	RENDUAN, C				RENDUAN, C			SINO-AMERICAN JOINT COMMISSION ON RURAL RECONSTRUCTION - 20 YEARS OF COOPERATION FOR AGRICULTURAL DEVELOPMENT - SHEN,TH	DEVELOPING ECONOMIES			English	Book Review									UNIV TOKYO,TOKYO,JAPAN							Shen T. H., 1970, SINO AM JOINT COMMIS	1	0	0	MARUZEN CO LTD	TOKYO	PO BOX 5050, TOKYO 100 31, JAPAN	0012-1533			DEV ECON	Dev. Econ.		1971	9	1					103	107				5	Economics; Planning & Development	Business & Economics; Public Administration	L6713	WOS:A1971L671300008		
