PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	YOKOI, H; FUKUDA, C; TAKEDA, H; ENOMOTO, S; TAKAHASHI, H				YOKOI, H; FUKUDA, C; TAKEDA, H; ENOMOTO, S; TAKAHASHI, H			COMPARISON OF TRIMETHYLSILYLATION AND SILICOMOLYBDATE METHODS FOR SILICATE STRUCTURE-ANALYSIS	YAKUGAKU ZASSHI-JOURNAL OF THE PHARMACEUTICAL SOCIETY OF JAPAN			Japanese	Article									UNIV TOKYO, INST IND SCI, MINATO KU, TOKYO 113, JAPAN	YOKOI, H (reprint author), TOYAMA MED & PHARMACEUT UNIV, FAC PHARMACEUT SCI, GOFU KU, TOYAMA 3190, JAPAN.						ALEXANDER GB, 1953, J AM CHEM SOC, V75, P5655, DOI 10.1021/ja01118a054; OCONNOR TL, 1961, J PHYS CHEM-US, V65, P1, DOI 10.1021/j100819a001; YOKOI H, 1978, CHEM PHARM BULL, V26, P1846; YOKOI H, 1979, CHEM PHARM BULL, V27, P1733	4	0	0	PHARMACEUTICAL SOC JAPAN	TOKYO	2-12-15 SHIBUYA, SHIBUYA-KU, TOKYO, 150-0002, JAPAN	0031-6903			YAKUGAKU ZASSHI	Yakugaku Zasshi-J. Pharm. Soc. Jpn.		1979	99	8					783	787				5	Pharmacology & Pharmacy	Pharmacology & Pharmacy	HL237	WOS:A1979HL23700001		
J	YOKOI, H; KASHIWAGI, H; ENOMOTO, S; TAKAHASHI, H				YOKOI, H; KASHIWAGI, H; ENOMOTO, S; TAKAHASHI, H			RADICAL FORMATION IN THE MIXED POWDERS OF STARCH AND SILICATES	YAKUGAKU ZASSHI-JOURNAL OF THE PHARMACEUTICAL SOCIETY OF JAPAN			Japanese	Article									UNIV TOKYO, INST IND SCI, TOKYO 113, JAPAN	YOKOI, H (reprint author), TOYAMA UNIV, FAC PHARMACEUT SCI, TOYAMA 930, JAPAN.						BENESI HA, 1957, J PHYS CHEM-US, V61, P970, DOI 10.1021/j150553a030; HERAK JN, 1965, J CHEM PHYS, V42, P2388, DOI 10.1063/1.1696305; WILLIAMS D, 1958, P NATL ACAD SCI USA, V44, P1128, DOI 10.1073/pnas.44.11.1128; WILLIAMS W, 1959, P NATL ACAD SCI USA, V45, P1744	4	5	5	PHARMACEUTICAL SOC JAPAN	TOKYO	2-12-15 SHIBUYA, SHIBUYA-KU, TOKYO, 150-0002, JAPAN	0031-6903			YAKUGAKU ZASSHI	Yakugaku Zasshi-J. Pharm. Soc. Jpn.		1979	99	9					914	918				5	Pharmacology & Pharmacy	Pharmacology & Pharmacy	HQ984	WOS:A1979HQ98400007		
J	ALHASHIMI, M; KURATA, T; MICKSCHE, M				ALHASHIMI, M; KURATA, T; MICKSCHE, M			IMMUNOPROPHYLAXIS AND IMMUNOTHERAPY IN LEWIS LUNG-TUMOR SYSTEM	ZEITSCHRIFT FUR IMMUNITATSFORSCHUNG-IMMUNOBIOLOGY			English	Meeting Abstract									VIENNA UNIV,INST CANC RES,A-1010 VIENNA,AUSTRIA; UNIV TOKYO,DEPT PATHOL,TOKYO 113,JAPAN								0	0	0	GUSTAV FISCHER VERLAG	JENA	VILLENGANG 2, D-07745 JENA, GERMANY	0300-972X			Z IMMUNITATSFORSCH			1979	156	3					269	269				1	Immunology	Immunology	HQ396	WOS:A1979HQ39600150		
J	TAKEUCHI, Y; OZAWA, T; TAKAGI, J				TAKEUCHI, Y; OZAWA, T; TAKAGI, J			TROPOCHEMICAL CELL-TWINNING AND THE 60-A STRUCTURE OF PHASE-V IN THE PBS-BI2S3 SYSTEM	ZEITSCHRIFT FUR KRISTALLOGRAPHIE			English	Article										TAKEUCHI, Y (reprint author), UNIV TOKYO,FAC SCI,INST MINERAL,TOKYO 113,JAPAN.						COPPENS P, 1970, ACTA CRYSTALL A-CRYS, VA 26, P71, DOI 10.1107/S0567739470000086; JOHNSON CK, 1965, ORNA3794 OAK RIDG NA; Otto H. H., 1968, NEUES JB MINER ABH, V108, P1; Salanci B, 1969, NEUES JB MINER ABH, V112, P63; TAKEUCHI Y, 1974, P JPN ACAD, V50, P843; TAKEUCHI Y, 1974, Z KRISTALLOGR, V140, P249, DOI 10.1524/zkri.1974.140.3-4.249; TAKEUCHI Y, 1978, RECENT PROG NAT SCI, V3, P153; TAKEUCHI Y, 1978, CANADIAN MINERALOGIS, V0016; WUENSCH BJ, 1965, Z KRISTALLOGR, V122, P24, DOI 10.1524/zkri.1965.122.1-2.24	9	19	19	R OLDENBOURG VERLAG	MUNCHEN	LEKTORAT M/N, K BERBER-NERLINGER, POSTFACH 80 13 60, D-81613 MUNCHEN, GERMANY	0044-2968			Z KRISTALLOGR	Z. Kristall.		1979	150	1-4					75	84				10	Crystallography	Crystallography	JF409	WOS:A1979JF40900006		
J	SHINDO, H; EGAWA, C; ONISHI, T; TAMARU, K				SHINDO, H; EGAWA, C; ONISHI, T; TAMARU, K			MECHANISM OF AMMONIA DECOMPOSITION ON TUNGSTEN - NH3 AND ND3 ISOTOPE EFFECT	ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES			English	Article									UNIV TOKYO,FAC SCI,DEPT CHEM,TOKYO 113,JAPAN							Barrer RM, 1936, T FARADAY SOC, V32, P0490, DOI 10.1039/tf9363200490; Hinshelwood CN, 1925, J CHEM SOC, V127, P1105, DOI 10.1039/ct9252701105; DAWSON PT, 1968, J CHEM PHYS, V48, P623, DOI 10.1063/1.1668693; ESTRUP PJ, 1968, J CHEM PHYS, V49, P523, DOI 10.1063/1.1670106; Frankenburger W, 1932, T FARADAY SOC, V28, P0229, DOI 10.1039/tf9322800229; Jungers JC, 1935, J AM CHEM SOC, V57, P679, DOI 10.1021/ja01307a023; PENG YK, 1971, J CHEM PHYS, V54, P950, DOI 10.1063/1.1675025; TAMARU K, 1961, T FARADAY SOC, V57, P1410, DOI 10.1039/tf9615701410	8	4	4	VERLAG Z NATURFORSCH	TUBINGEN	POSTFACH 2645, W-7400 TUBINGEN, GERMANY	0932-0784			Z NATURFORSCH A	Z. Naturfors. Sect. A-J. Phys. Sci.		1979	34	1					96	98				3	Chemistry, Physical; Physics, Multidisciplinary	Chemistry; Physics	GJ679	WOS:A1979GJ67900014		
J	FUJIMURA, T; KOMAMINE, A				FUJIMURA, T; KOMAMINE, A			INVOLVEMENT OF ENDOGENOUS AUXIN IN SOMATIC EMBRYOGENESIS IN A CARROT CELL-SUSPENSION CULTURE	ZEITSCHRIFT FUR PFLANZENPHYSIOLOGIE			English	Article										FUJIMURA, T (reprint author), UNIV TOKYO,FAC SCI,DEPT BOT,TOKYO 113,JAPAN.						FUJIMURA T, 1975, PLANT SCI LETT, V5, P359, DOI 10.1016/0304-4211(75)90001-2; HALPERIN W, 1966, AM J BOT, V53, P443, DOI 10.2307/2440343; KOHLENBACH HW, 1978, FRONTIERS PLANT TISS, P59; LIN ML, 1961, LLOYD, V24, P139; NEWCOMB W, 1970, BOT GAZ, V131, P242, DOI 10.1086/336538; SMITH SM, 1974, ANN BOT-LONDON, V38, P223; THIMANN KV, 1972, PLANT PHYSL VIB, P17	7	37	37	GUSTAV FISCHER VERLAG	JENA	VILLENGANG 2, D-07745 JENA, GERMANY	0044-328X			Z PFLANZENPHYSIOL			1979	95	1					13	19				7	Plant Sciences	Plant Sciences	HU965	WOS:A1979HU96500002		
J	SYONO, K; NAGATA, T; SUZUKI, M; KAJITA, S; MATSUI, C				SYONO, K; NAGATA, T; SUZUKI, M; KAJITA, S; MATSUI, C			FUSION OF PEA ROOT NODULE PROTOPLASTS WITH TOBACCO MESOPHYLL PROTOPLASTS	ZEITSCHRIFT FUR PFLANZENPHYSIOLOGIE			English	Article										SYONO, K (reprint author), UNIV TOKYO,DEPT PURE & APPL SCI,TOKYO 153,JAPAN.						KAO KN, 1974, PLANTA, V115, P355, DOI 10.1007/BF00388618; NEWCOMB W, 1976, CAN J BOT, V54, P2163; BROUGHTON WJ, 1976, NATURE, V262, P208, DOI 10.1038/262208a0; CHILD JJ, 1975, NATURE, V253, P350, DOI 10.1038/253350a0; DAVEY MR, 1973, NATURE, V244, P460, DOI 10.1038/244460a0; DAVEY MR, 1972, NATURE, V239, P455, DOI 10.1038/239455b0; HOLSTEN RD, 1971, NATURE, V232, P173, DOI 10.1038/232173a0; KELLER WA, 1973, Z NATURFORSCH C, VC 28, P737; MURASHIGE T, 1962, PHYSIOL PLANTARUM, V15, P473, DOI 10.1111/j.1399-3054.1962.tb08052.x; PHILLIPS DA, 1974, PLANT PHYSIOL, V53, P67, DOI 10.1104/pp.53.1.67; Schetter G., 1977, Biochemie und Physiologie der Pflanzen, V171, P63; SCOWCROFT WR, 1975, NATURE, V253, P351, DOI 10.1038/253351a0; SPURR AR, 1969, J ULTRA MOL STRUCT R, V26, P31, DOI 10.1016/S0022-5320(69)90033-1; TAKEBE I, 1968, PLANT CELL PHYSIOL, V9, P115; Vasil I. K., 1977, Genetic engineering for nitrogen fixation., P197	15	9	9	GUSTAV FISCHER VERLAG	JENA	VILLENGANG 2, D-07745 JENA, GERMANY	0044-328X			Z PFLANZENPHYSIOL			1979	95	5					449	457				9	Plant Sciences	Plant Sciences	JC985	WOS:A1979JC98500009		
J	KANAMORI, I; ASHIHARA, H; KOMAMINE, A				KANAMORI, I; ASHIHARA, H; KOMAMINE, A			CHANGES IN THE ACTIVITIES OF THE PENTOSE-PHOSPHATE PATHWAY AND PYRIMIDINE NUCLEOTIDE BIOSYNTHESIS DURING THE GROWTH OF VINCAROSEA CELLS IN SUSPENSION CULTURE	ZEITSCHRIFT FUR PFLANZENPHYSIOLOGIE			English	Article									UNIV TOKYO,FAC SCI,DEPT BOT,BUNKYO KU,TOKYO 113,JAPAN	KANAMORI, I (reprint author), OCHANOMIZU UNIV,FAC SCI,DEPT BIOL,BUNKYO KU,TOKYO 112,JAPAN.						ASHIHARA H, 1974, BOT MAG TOKYO, V87, P121, DOI 10.1007/BF02489064; ASHIHARA H, 1977, INT J BIOCHEM, V8, P461; ASHIHARA H, 1977, Z PFLANZENPHYSIOL, V83, P379; ASHIHARA H, 1978, Z PFLANZENPHYSIOL, V87, P225; ASHIHARA H, 1977, Z PFLANZENPHYSIOL, V81, P199; ASHIHARA H, 1974, Z PFLANZENPHYSIOL, V74, P130; Beevers L, 1976, NITROGEN METABOLISM; FOWLER MW, 1971, J EXP BOT, V22, P715, DOI 10.1093/jxb/22.3.715; GIVAN CV, 1967, J EXP BOT, V18, P321, DOI 10.1093/jxb/18.2.321; MAZUS B, 1972, PHYTOCHEMISTRY, V11, P77, DOI 10.1016/S0031-9422(00)89970-7; MURASHIGE T, 1962, PHYSIOL PLANTARUM, V15, P473, DOI 10.1111/j.1399-3054.1962.tb08052.x; ONEAL TD, 1976, PLANT PHYSIOL, V57, P23, DOI 10.1104/pp.57.1.23; SCHMIDT G, 1945, J BIOL CHEM, V161, P83; STREET H, 1973, BIOSYNTHESIS ITS CON, P93; TAKEUCHI Y, 1978, PHYSIOL PLANTARUM, V42, P21, DOI 10.1111/j.1399-3054.1978.tb01532.x	15	47	47	GUSTAV FISCHER VERLAG	JENA	VILLENGANG 2, D-07745 JENA, GERMANY	0044-328X			Z PFLANZENPHYSIOL			1979	93	5					437	448				12	Plant Sciences	Plant Sciences	HM243	WOS:A1979HM24300008		
J	SUZUKI, T; HYUGA, H; ARIMA, A				SUZUKI, T; HYUGA, H; ARIMA, A			EFFECTS OF CORE POLARIZATION AND EXCHANGE CURRENTS ON THE MAGNETIC FORM-FACTORS OF OF7/2 AND OG9/2-SHELL NUCLEI	ZEITSCHRIFT FUR PHYSIK A-HADRONS AND NUCLEI			English	Article										SUZUKI, T (reprint author), UNIV TOKYO,DEPT PHYS,TOKYO 113,JAPAN.						SHIMIZU K, 1974, NUCL PHYS A, VA226, P282, DOI 10.1016/0375-9474(74)90407-2; BERTSCH G, 1977, NUCL PHYS A, V284, P399, DOI 10.1016/0375-9474(77)90392-X; ARIMA A, 1978, PHYS REV LETT, V40, P1001, DOI 10.1103/PhysRevLett.40.1001; BASU SK, 1974, NUCL PHYS A, V220, P580, DOI 10.1016/0375-9474(74)90136-5; BONGARDT K, 1974, PHYS LETT B, VB 52, P271, DOI 10.1016/0370-2693(74)90038-0; DEWITTHUBERTS PKA, 1977, PHYS LETT B, V71, P317, DOI 10.1016/0370-2693(77)90226-X; DEWITTHUBERTS PKA, 1978, P C MODERN TRENDS EL, P21; DEWITTHUBERTS PKA, COMMUNICATION; DEWITTHUBERTS PKA, 1976, PHYS LETT B, V60, P157, DOI 10.1016/0370-2693(76)90412-3; DUBACH J, 1979, PHYS LETT B, V81, P124, DOI 10.1016/0370-2693(79)90503-3; ENOMOTO A, 1977, P SENDAI C ELECTRO P; ERKELENZ K, 1974, PHYS REP C, V13, P208; GLOECKNE.D, 1972, PHYS LETT B, VB 42, P381, DOI 10.1016/0370-2693(72)90086-X; GOGNY D, COMMUNICATION; Gogny D., 1975, Proceedings of the International Conference on Nuclear Self-Consistent Fields; Gourdin M., 1974, Physics Reports. Physics Letters Section C, V11c, DOI 10.1016/0370-1573(74)90036-2; HERAS CA, 1975, FIZIKA            S2, V7, P49; HORIKAWA Y, 1976, PHYS LETT B, V63, P134, DOI 10.1016/0370-2693(76)90632-8; HYNES MV, 1979, PHYS REV LETT, V42, P1444, DOI 10.1103/PhysRevLett.42.1444; KAWAZOE Y, 1977, RES REP LAB NUCL S S, V10, P173; KITCHING JE, 1973, Z PHYS, V258, P22, DOI 10.1007/BF01392705; SERDUKE FJD, 1976, NUCL PHYS A, V256, P45, DOI 10.1016/0375-9474(76)90094-4; SICK I, 1977, PHYS REV LETT, V38, P1259, DOI 10.1103/PhysRevLett.38.1259; SUZUKI T, 1978, THESIS U TOKYO; 1974, ATOMIC DATA NUCLEAR, V14, P479; 1971, P TOPICAL C STRUCTUR	26	25	25	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0939-7922			Z PHYS A-HADRON NUCL	Z. Phys. A.-Hadrons Nuclei		1979	293	1					5	8		10.1007/BF01414778		4	Physics, Nuclear; Physics, Particles & Fields	Physics	HW368	WOS:A1979HW36800002		
J	SAKAKURA, M; SHIKATA, Y; ARIMA, A; SEBE, T				SAKAKURA, M; SHIKATA, Y; ARIMA, A; SEBE, T			CALCULATIONS OF THE ENERGY-SPECTRA OF ZN, GA, AND GE ISOTOPES BY THE SHELL-MODEL	ZEITSCHRIFT FUR PHYSIK A-HADRONS AND NUCLEI			English	Article									UNIV TOKYO,CTR COMP,TOKYO 113,JAPAN; AOYAMA GAKUIN UNIV,DEPT PHYS,TOKYO 150,JAPAN	SAKAKURA, M (reprint author), HOSEI UNIV,DEPT APPL PHYS,TOKYO,JAPAN.						ALMAR R, 1972, PHYS REV C, V6, P187, DOI 10.1103/PhysRevC.6.187; ALVAR KR, 1972, NUCL DATA SHEETS, V8, P1, DOI 10.1016/S0090-3752(72)80005-X; NOLTE E, 1974, Z PHYS, V268, P267, DOI 10.1007/BF01669462; THROOP MJ, 1975, NUCL PHYS A, VA239, P333, DOI 10.1016/0375-9474(75)90455-8; AUERBACH N, 1967, PHYS REV, V163, P1203, DOI 10.1103/PhysRev.163.1203; PAAR V, 1973, NUCL PHYS A, V211, P29, DOI 10.1016/0375-9474(73)90763-X; ARDOUIN D, 1975, PHYS REV C, V12, P1745, DOI 10.1103/PhysRevC.12.1745; Auble R. L., 1976, Nuclear Data Sheets, V17, DOI 10.1016/S0090-3752(76)80014-2; Auble R. L., 1975, Nuclear Data Sheets, V16, DOI 10.1016/S0090-3752(75)80070-6; Auble R. L., 1975, Nuclear Data Sheets, V16, DOI 10.1016/S0090-3752(75)80068-8; Auble R. L., 1975, Nuclear Data Sheets, V16, DOI 10.1016/S0090-3752(75)80069-X; AUERBACH N, 1966, PHYS LETT, V21, P57, DOI 10.1016/0031-9163(66)91340-0; AUERBACH N, 1966, NUCL PHYS, V76, P321, DOI 10.1016/0029-5582(66)90026-5; BACHNER D, 1967, NUCL PHYS A, VA 99, P487, DOI 10.1016/0375-9474(67)90947-5; BASS WT, 1970, PHYS REV C, V2, P2154, DOI 10.1103/PhysRevC.2.2154; BETIGERI MG, 1971, NUCL PHYS A, VA171, P401, DOI 10.1016/0375-9474(71)90030-3; BIESZK JA, 1977, PHYS REV C, V16, P1333, DOI 10.1103/PhysRevC.16.1333; BIRSTEIN L, 1968, NUCL PHYS A, VA113, P193, DOI 10.1016/0375-9474(68)90893-2; BRUANDET JF, 1975, PHYS REV C, V12, P1739, DOI 10.1103/PhysRevC.12.1739; BRUANDET JF, 1976, PHYS REV C, V14, P103, DOI 10.1103/PhysRevC.14.103; CHARVET A, 1977, PHYS REV C, V15, P1679, DOI 10.1103/PhysRevC.15.1679; COHEN S, 1967, PHYS REV, V160, P903, DOI 10.1103/PhysRev.160.903; COUCH RG, 1970, PHYS REV C, V2, P149, DOI 10.1103/PhysRevC.2.149; DAEHNICK WW, 1977, PHYS REV C, V15, P1264, DOI 10.1103/PhysRevC.15.1264; DIKSHIT JJ, 1976, J PHYS G NUCL PARTIC, V2, P219, DOI 10.1088/0305-4616/2/4/007; EBERTH U, 1975, Z PHYS A-HADRON NUCL, V273, P411, DOI 10.1007/BF01435585; EHRENSTEIN DV, 1967, PHYSICAL REVIEW, V164, P1374; FINCKH E, 1970, NUCL PHYS A, VA144, P67, DOI 10.1016/0375-9474(70)90492-6; GLAUDEMA.PW, 1972, NUCL PHYS A, VA198, P609, DOI 10.1016/0375-9474(72)90712-9; GUILBAULT F, 1977, PHYS REV C, V15, P894, DOI 10.1103/PhysRevC.15.894; HARMSRIN.L, 1974, PHYS SCRIPTA, V9, P15, DOI 10.1088/0031-8949/9/1/002; HOWE D, 1976, Z PHYS A-HADRON NUCL, V276, P341, DOI 10.1007/BF01548301; HSIEH ST, 1973, PHYS REV C, V8, P563, DOI 10.1103/PhysRevC.8.563; IWASAKI S, 1976, P INT C COLLECTIVITY, P106; IWASAKI S, 1976, P INS S NUCLEAR COLL, P445; KISSLING.LS, 1967, PHYS REV LETT, V19, P1239, DOI 10.1103/PhysRevLett.19.1239; KOOPS JE, 1977, Z PHYS A-HADRON NUCL, V280, P181, DOI 10.1007/BF01409548; LAWSON RD, 1966, PHYS LETT, V22, P168, DOI 10.1016/0031-9163(66)90562-2; Lewis M. B., 1975, Nuclear Data Sheets, V14, DOI 10.1016/S0090-3752(75)80048-2; MORAND C, 1976, Z PHYS A-HADRON NUCL, V278, P189, DOI 10.1007/BF01437775; MORAND C, 1976, PHYS REV C, V13, P2182, DOI 10.1103/PhysRevC.13.2182; NEAL GF, 1977, NUCL PHYS A, V280, P161, DOI 10.1016/0375-9474(77)90301-3; PAAR V, 1976, J PHYS G NUCL PARTIC, V2, P917, DOI 10.1088/0305-4616/2/12/008; PAAR V, 1976, PHYS REV C, V13, P2532, DOI 10.1103/PhysRevC.13.2532; PARADELL.T, 1971, CAN J PHYS, V49, P1750; PARADELLIS T, 1975, Z PHYS A-HADRON NUCL, V275, P269, DOI 10.1007/BF01409295; PARDO RC, 1977, PHYS REV C, V15, P1811, DOI 10.1103/PhysRevC.15.1811; PERAZZO RPJ, 1972, NUCL PHYS A, VA186, P379, DOI 10.1016/0375-9474(72)90054-1; PHILLIPS EA, 1968, PHYS REV, V169, P917, DOI 10.1103/PhysRev.169.917; RICCATO A, 1974, NUCL PHYS A, VA228, P461, DOI 10.1016/0375-9474(74)90615-0; ROBINSON RL, 1977, PHYS REV C, V16, P2268, DOI 10.1103/PhysRevC.16.2268; ROY BB, 1970, PHYS REV C, V1, P207, DOI 10.1103/PhysRevC.1.207; RUSTGI ML, 1971, PHYS REV C, V4, P854, DOI 10.1103/PhysRevC.4.854; SAKAKURA M, 1976, REP COMPT CENTRE, V5, P7; SEBE T, 1969, ANN PHYS-NEW YORK, V51, P100, DOI 10.1016/0003-4916(69)90348-0; SINGH RP, 1970, PHYS REV C, V2, P1715, DOI 10.1103/PhysRevC.2.1715; TEMPERLE.JK, 1965, PHYS REV, V139, P1125; VANDENBERGHE G, 1976, NUCL PHYS A, V265, P479; VANHIEMEN JFA, COMMUNICATION; VANHIENEN JFA, 1976, NUCL PHYS A, V269, P159, DOI 10.1016/0375-9474(76)90404-8; Vo-Van T., 1976, Canadian Journal of Physics, V55; WANG MC, 1975, NUOVO CIMENTO A, V29, P49, DOI 10.1007/BF02735412; Whitehead R. R., 1977, ADV NUCL PHYS, V9, P123; WONG SSM, 1970, NUCL PHYS A, VA159, P235, DOI 10.1016/0375-9474(70)90039-4; YOH WA, 1976, NUCL PHYS A, V263, P419, DOI 10.1016/0375-9474(76)90198-6; ZEIDMAN B, 1974, PHYS REV C, V9, P409, DOI 10.1103/PhysRevC.9.409	66	11	11	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0939-7922			Z PHYS A-HADRON NUCL	Z. Phys. A.-Hadrons Nuclei		1979	289	2					163	172		10.1007/BF01435934		10	Physics, Nuclear; Physics, Particles & Fields	Physics	GE322	WOS:A1979GE32200006		
