PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	FUJII, M				FUJII, M			EXPERIMENTAL INVESTIGATIONS ON INSTANTANEOUS JUDGING OF NUMBER OF OBJECTS .2.	JAPANESE JOURNAL OF PSYCHOLOGY			Japanese	Article									UNIV TOKYO,TOKYO,JAPAN								0	3	3	JAPAN PSYCHOL ASSOC	TOKYO	2-40-14-902 HONGO BUNKYO-KU, TOKYO 113, JAPAN	0021-5236			JPN J PSYCHOL	Jpn. J. Psychol.		1967	38	2					83	93				11	Psychology; Psychology, Multidisciplinary	Psychology	ZN018	WOS:A1967ZN01800003		
J	KATORI, H; NATORI, K				KATORI, H; NATORI, K			IMMEDIATE REPRODUCTION OF TACTUALLY PERCEIVED FIGURES AND DRAWING PROCESS IN REPRODUCING FIGURES	JAPANESE JOURNAL OF PSYCHOLOGY			Japanese	Article									UNIV TOKYO,TOKYO,JAPAN							GIBSON JJ, 1962, PSYCHOL REV, V69, P477, DOI 10.1037/h0046962; AUSTIN TR, 1952, J EXP PSYCHOL, V43, P239, DOI 10.1037/h0056994; Katz D., 1925, AUFBAU TASTWELT; Revesz G., 1950, FORMENWELT TASTSINNE	4	2	2	JAPAN PSYCHOL ASSOC	TOKYO	2-40-14-902 HONGO BUNKYO-KU, TOKYO 113, JAPAN	0021-5236			JPN J PSYCHOL	Jpn. J. Psychol.		1967	38	3					121	136				16	Psychology; Psychology, Multidisciplinary	Psychology	ZN019	WOS:A1967ZN01900001		
J	SHIGA, S				SHIGA, S			SOME REMARKS ON THE JUDICIAL SYSTEM IN CHINA - HISTORICAL DEVELOPMENT AND CHARACTERISTICS	JOURNAL OF ASIAN AND AFRICAN STUDIES			English	Article									UNIV TOKYO,TOKYO,JAPAN							BALAZS E, 1964, CHINESE CIVILIZATION, P17; BUXBAUM DC, 1962, INT COMP LAW Q   JAN, P1; BUXBAUM DSC, 1964, OSTEUROPA RECHT, P31; Ch'u T'sung-tsu, 1961, LAW SOC TRADITIONAL; CHU T, 1962, LOCAL GOVERNMENT CHI; HSU FLK, 1953, AM CHINESE 2 WAYS LI, pCH7; Hulsewe A. F. P., 1955, REMNANTS HAN LAW, V1; MASPERO H, 1934, SERMENT PROCEDURE JU, V3; MIYAZAKI I, 1954, TOHO GAKUHO, V24; OKUMURA I, 1959, HOSEISHI KENKYU, V10; SHIGA S, 1960, KEIBATSU KOKKA KENRY; SHIRAKAWA S, 1956, KOKOTSU KIMBUN GAKU, V4; VANGULIK RH, 1956, TANG YIN PI SHIH; WADA K, 1939, SHINA CHIHO JICHI HA, pCH4	14	0	0	BRILL ACADEMIC PUBLISHERS	LEIDEN	PLANTIJNSTRAAT 2, P O BOX 9000, 2300 PA LEIDEN, NETHERLANDS	0021-9096			J ASIAN AFR STUD	J. Asian Afr. Stud.		1967	2	1-2					44	53		10.1177/002190966700200104		10	Area Studies	Area Studies	ZG673	WOS:A1967ZG67300004		
J	IKEGAMI, Y				IKEGAMI, Y			STRUCTURAL SEMANTICS - SURVEY AND PROBLEMS	LINGUISTICS			English	Article									UNIV TOKYO,COLL GEN EDUC,TOKYO,JAPAN							BALLY, 1940, FRANCAIS MODERNE, V40; BREKLE, 1963, SEMANTISCHE ANAL WER; EMENEAU MB, 1950, LANGUAGE, V26; FIRTH, 1957, PAPERS LINGUISTICS 1; Gipper Helmut, 1959, SPRACHE SCHLUSSEL WE; Greenberg Joseph, 1963, UNIVERSALS LANGUAGE; GUIRAUD, 1956, B SOC LINGUISTIQUE P, V52; HARRIS Z, 1951, METHODS STRUCTURAL L, P7; HILL AA, 1961, COLLEGE ENGLISH; HJELMSLEV, 1958, 8 P INT C LING OSL; HJELMSLEV, 1959, ESSAIS LINGUISTIQUES, P98; HOLNIGSWALD, 1960, LANGUAGE CHANGE LING, P16; IKEGAMI Y, 1963, ME DIGHT STRUCTURAL; IKEGAMI Y, 1965, ESSAYS STUDIES PRESE; JOLLES, 1934, BEITRAGE GESCHICHTE, V18; JOOS, CITED INDIRECTLY; JOOS, 1962, 11TH ANN ROUND TABL; JOOS, 1958, STUDIES LINGUISTICS, V13; KATZ, 1963, LANGUAGE, V39; KATZ JJ, 1964, INTEGRATED THEORY LI, P14; LAMB, 1964, AM ANTHR, V66; LEISI, 1961, WORTINHALT; LOUNSBURY FG, 1956, LANGUAGE, V32; LYON, 1964, STRUCTURAL SEMANTICS; LYONS, 1957, PRINCIPLES SEMANTICS, P160; MATORE, 1951, VOCABULAIRE SOC L PH; MATORE, 1953, METHODE LEXICOLOGIE; NIDA, 1962, STUDY LANGUAGE LINGU; NIDA, 1964, SCI TRANSLATION; OHMAN S, 1951, WORTINHALT WELTBILD; OKSAAR, 1958, SEMANTISCHE STUDIEN; PORZIG, 1934, BEITRAGE GESCHICHTE, V58; PORZIG, 1957, WUNDER SPRACHE, P117; REUNINGS K, 1941, JOY FREUDE COMP STUD; SAUSSURE, 1955, COURS LINGUISTIQUE G, P175; SPANGHANSSEN, TRENDS EUROPEAN AM L, P142; WEISGERBER L, 1953, VOM WELTBILD DTSCH S; ZINSLI P, 1937, GRUND GRAT FORMENBAU; 1954, WORD, V10; 1934, NEUE JB WISSENSCHAFT, V10; 1931, DTSCH WORTSCHATZ SIN; 1953, PROLEGOMENA THEORY L, P70	42	0	0	MOUTON DE GRUYTER	HAWTHORNE	200 SAW MILL RIVER RD, HAWTHORNE, NY 10532	0024-3949			LINGUISTICS	Linguistics		1967		33					49	&				0	Linguistics; Language & Linguistics	Linguistics	ZH687	WOS:A1967ZH68700004		
J	IKEGAMI, Y				IKEGAMI, Y			LANGUAGE POETS USE - NOWOTTNY,W	LINGUISTICS			English	Book Review									UNIV TOKYO,COLL GEN EDUC,TOKYO,JAPAN							ABERCROMBIE L, 1914, POETRY CONT SPEECH; ABERCROMBIE L, 1926, THEORY POETRY; Barfield O., 1928, POETIC DICTION STUDY; BATESON FW, 1934, ENGLISH POETRY ENGLI; Beardsley Monroe C., 1958, AESTHETICS PROBLEMS; BERKSTROM GA, 1913, MINNESSKRIFT FORNA L; BERRY F, 1958, POETS GRAMMAR PERSON; BLACKMUR RP, 1952, FORM VALUE MODERN PO; Bodkin Maud, 1934, ARCHETYPAL PATTERNS; Brooke-Rose Christine, 1958, GRAMMAR METAPHOR; Brooks C., 1947, WELL WROUGHT URN STU; BURKE K, 1941, PHILOSOPHY LITERARY; Chatman Seymour, 1965, THEORY METER; COFFIN RPT, 1942, SUBSTANCE IS POETRY; Crane R. S, 1953, LANGUAGES CRITICISM; DAICHES D, 1935, PLACE MEANING POETRY; DAVIE D, 1953, PURITY DICTION ENGLI; DAVIE D, 1958, ARTICULATE ENERGY EN; DAVIE D, 1961, POETICS; Day Lewis C., 1947, POETIC IMAGE; DEVOTO G, 1963, LINGUISTICS LITERARY; Empson William, 1930, 7 TYPES AMBIGUITY; FOWLER R, 1966, LINGUA, V16; Fowler Roger, 1966, ESSAYS STYLE LANGUAG; GARVIN PL, 1964, PRAGUE READER ESTHET; GOKAK VK, 1952, POETIC APPROACH LANG; GROOM B, 1955, DICTION POETRY SPENS; GUIRAUD P, POUR SEMIOLOGIE EXPR; HATZFELD H, 1946, STUDIES PHILOLOGY, V42; HILL AA, 1961, COLLEGE ENGLISH; HILL AA, 1955, PMLA, V70; KER WP, 1929, FORM STYLE POETRY; KROEBER AL, 1958, PMLA, V73; LANGER SK, 1942, PHILOSOPHY NEW KEY S; Levin S., 1962, LINGUISTIC STRUCTURE; LEVIN SR, 1964, 9TH P INT C LING; LEVIN SR, 1963, LINGUA, V12; MILES J, 1957, ERAS MODES ENGLISH P; MILES J, 1951, CONTINUITY POETIC LA; MOWATT DG, 1965, CANADIAN J LINGUISTI, V11; Nowottny Winifred, 1962, LANGUAGE POETS USE; OHMANN R, 1964, WORD, V20; ORR J, 1953, WORDS SOUNDS ENGLISH; Prescott F.C., 1922, POETIC MIND; PRESS J, 1958, CHEQUERD SHADE REFLE; Quayle Thomas, 1924, POETIC DICTION STUDY; REDIN M, 1925, WORD ORDER ENGLISH V; RICHARDS IA, 1924, PRINCIPLES LITERARY; RICHARDS IA, 1936, PHILOSOPHY RHETORIC; RIFFATERRE M, 1960, WORD, V16; RIFFATERRE M, 1959, WORD, V15; RUBEL RV, 1941, POETIC DICTION ENGLI; RUWET N, 1963, LINGUISTICS, V2; Rylands George, 1928, WORDS POETRY; SAMPSON HF, 1925, LANGUAGE POETRY; SAYCE RA, 1957, ESSAYS CRITICISM, V7; SCHLAUCH M, 1955, GIFT LANGUAGE; SCHLAUCH M, 1952, MODERN ENGLISH AM PO; Sebeok T. A., 1960, STYLE LANGUAGE; Sewell Elizabeth, 1951, STRUCTURE POETRY; SKELTON R, 1956, POETIC PATTERN; SMITH CP, 1932, PATTERN VARIATION PO; SPARROW J, 1934, SENSE POETRY; SPENCER J, 1964, LINGUISTICS STYLE; STRAUMANN H, 1955, ENGLISH STUDIES, V36; TATE A, 1942, LANGUAGE POETRY; THORNE JP, 1965, J LINGUISTICS, V1; Ullmann Stephen, 1964, LANGUAGE STYLE; VIGORS NA, 1813, INQUIRY NATURE EXTEN; WELLEK R, 1949, THEORY LITERATURE; WELLS HW, 1924, POETIC IMAGERY; Whalley George, 1953, POETIC PROCESS; WHEELWRIGHT P, 1940, KENYON REV, V2; WHEELWRIGHT P, 1954, BURNING FOUNTAIN STU; WHITEHALL H, 1956, ENGLISH I ESSAYS; WHITEHALL H, 1956, KENYON REV, V18; Wimsatt W. K., 1954, VERBAL ICON STUDIES; WYLD HC, 1933, SOME ASPECTS DICTION	78	0	0	MOUTON DE GRUYTER	HAWTHORNE	200 SAW MILL RIVER RD, HAWTHORNE, NY 10532	0024-3949			LINGUISTICS	Linguistics		1967		33					125	134				10	Linguistics; Language & Linguistics	Linguistics	ZH687	WOS:A1967ZH68700016		
J	ISHIDA, T				ISHIDA, T			POLITICAL THOUGHT IN EARLY MEIJI JAPAN 1868-1889 - PITTAU,J	PACIFIC AFFAIRS			English	Book Review									UNIV TOKYO,TOKYO,JAPAN							Pittau J, 1967, POLITICAL THOUGHT EA	1	0	0	PACIFIC AFFAIRS UNIV BRITISH COLUMBIA	VANCOUVER	#164-1855 WEST MALL, VANCOUVER BC V6T 1Z2, CANADA	0030-851X			PAC AFF	Pac. Aff.		1967	40	3-4					382	383		10.2307/2754477		2	Area Studies	Area Studies	ZP235	WOS:A1967ZP23500047		
J	NAKAMURA, H				NAKAMURA, H			INTERRELATIONAL EXISTENCE	PHILOSOPHY EAST & WEST			English	Article									UNIV TOKYO,TOKYO,JAPAN							*BIBLE, EPHESIANS, V1, P22; LAVALLEEPOUSSIN LD, 1913, PARASPARAPEKSIKI SID, P67; PLOTINUS, ENNEADS, V5, P8; PLOTINUS, ENNEADS, V11, P9; PLOTTNUS, ENNEADS; PROCLUS, ELEMENTS THEOLOGY; SUZUKI DT, 1948, ESSENCE BUDDHISM, P56; WINDELBAND W, 1953, HISTORY PHILOSOPHY, P347; MAHABHARATA, V12, P298; 1952, MEISTER ECKHART, V2, P132; HUA YEN SUTRA, V46, pB245	11	1	1	UNIV HAWAII PRESS	HONOLULU	2840 KOLOWALU ST, HONOLULU, HI 96822	0031-8221			PHILOS EAST WEST	Philos. East West		1967	17	1-4					107	112		10.2307/1397050		6	Asian Studies; Philosophy	Asian Studies; Philosophy	ZG926	WOS:A1967ZG92600009		
J	HAMADA, K				HAMADA, K			OPTIMAL TRANSFER AND INCOME DISTRIBUTION IN A GROWING ECONOMY	REVIEW OF ECONOMIC STUDIES			English	Article									UNIV TOKYO,TOKYO,JAPAN							PASINETTI LL, 1962, REV EC STUDIES, V29; Pontryagin L., 1962, MATH THEORY OPTIMAL; PREOBRAZHENSKII E, 1964, F SOVIET STRATEGY EC; SATO K, 1966, REV EC STUDIES, V33	4	11	11	REVIEW OF ECONOMIC STUDIES LTD	OXFORD	C/O BASIL BLACKWELL LTD, 108 COWLEY RD, PO BOX 805, OXFORD OX4 1JF, OXON, ENGLAND	0034-6527			REV ECON STUD	Rev. Econ. Stud.		1967	34	3					295	299		10.2307/2296677		5	Economics	Business & Economics	ZG698	WOS:A1967ZG69800003		
J	NEGISHI, T				NEGISHI, T			PERCEIVED DEMAND CURVE IN THEORY OF 2ND BEST	REVIEW OF ECONOMIC STUDIES			English	Article									UNIV TOKYO,TOKYO,JAPAN							DAVIS OA, 1965, REV ECON STUD, V32, P1, DOI 10.2307/2296327; NEGISHI T, 1960, REV ECON STUD, V28, P196	2	4	4	REVIEW OF ECONOMIC STUDIES LTD	OXFORD	C/O BASIL BLACKWELL LTD, 108 COWLEY RD, PO BOX 805, OXFORD OX4 1JF, OXON, ENGLAND	0034-6527			REV ECON STUD	Rev. Econ. Stud.		1967	34	3					315	316		10.2307/2296679		2	Economics	Business & Economics	ZG698	WOS:A1967ZG69800005		
J	EZOE, T; KATO, N; HACHIYA, H; HASEGAWA, G; UNO, M				EZOE, T; KATO, N; HACHIYA, H; HASEGAWA, G; UNO, M			CURRENT STATUS OF PSYCHIATRIC CARE IN JAPANESE HOSPITALS - BASED ON EXAMPLE OF MATSUZAWA CLINIC IN TOKYO	SOCIAL PSYCHIATRY			German	Article									UNIV MAINZ,NERVEN KLIN,D-6500 MAINZ,FED REP GER; UNIV TOKYO,NERVE CLIN,TOKYO,JAPAN								0	0	0	SPRINGER VERLAG	NEW YORK	175 FIFTH AVE, NEW YORK, NY 10010	0037-7813			SOC PSYCHIATR			1967	2	3					134	137		10.1007/BF00578329		4	Psychiatry	Psychiatry	ZG532	WOS:A1967ZG53200008		
