PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Sagane, R; Miyamoto, G; Ikawa, M				Sagane, R; Miyamoto, G; Ikawa, M			Radioactivity produced in germanium	PHYSICAL REVIEW			English	Letter									Imperial Univ Tokyo, Phys Dept, Chem Dept, Tokyo, Japan							SAGANE, 1939, P PHYS MATH SOC JAPA, V21, P660; Sagane R, 1939, PHYS REV, V55, P0031, DOI 10.1103/PhysRev.55.31; SEABORG, 1941, PHYS REV, V59, P320	3	12	12	AMER INST PHYSICS	MELVILLE	CIRCULATION & FULFILLMENT DIV, 2 HUNTINGTON QUADRANGLE, STE 1 N O 1, MELVILLE, NY 11747-4501 USA	0031-899X			PHYS REV	Phys. Rev.	JUN	1941	59	11					904	904		10.1103/PhysRev.59.904		1	Physics, Multidisciplinary	Physics	V23DM	WOS:000201563800010		
J	Nishina, Y; Yasaki, T				Nishina, Y; Yasaki, T			Fission products of uranium by fast neutrons	PHYSICAL REVIEW			English	Letter									Inst Phys & Chem Res, Nucl Res Lab, Tokyo, Japan; Imperial Univ Tokyo, Fac Sci, Chem Inst, Tokyo, Japan							Nishina Y., 1941, PHYS REV, V59, P323, DOI 10.1103/PhysRev.59.323.2; Segre E., 1941, PHYS REV, V59, P212, DOI 10.1103/PhysRev.59.212.2	2	16	16	AMER INST PHYSICS	MELVILLE	CIRCULATION & FULFILLMENT DIV, 2 HUNTINGTON QUADRANGLE, STE 1 N O 1, MELVILLE, NY 11747-4501 USA	0031-899X			PHYS REV	Phys. Rev.	APR	1941	59	8					677	677		10.1103/PhysRev.59.677		1	Physics, Multidisciplinary	Physics	V23DJ	WOS:000201563500011		
J	Asahina, Y; Ukita, T				Asahina, Y; Ukita, T			Temisin (II. Announcment.)	BERICHTE DER DEUTSCHEN CHEMISCHEN GESELLSCHAFT			German	Article									Univ Tokio, Inst Pharmazeut, Tokio, Japan							ASAHINA, 1940, J PHARM SOC JAPAN, V60, P72; Dimroth K, 1939, ANGEW CHEM-GER EDIT, V52, P545, DOI 10.1002/ange.19390523402; RUZICKA, 1926, HELV CHIM ACTA, V9, P841; 1930, HELV CHIM ACTA, V13, P1117; 1933, P IMP ACAD TOKYO, V9, P91; 1934, P IMP ACAD TOKYO, V10, P215; 1922, ACTA PHYTOCHIM, V1, P7	7	5	5	GESELLSCHAFT DEUTSCHER CHEMIKER E V	FRANKFURT	VARRENTRAPPSTRASSE 40-42, D-60486 FRANKFURT, GERMANY	0365-9496			BER DTSCH CHEM GES			1941	74		2				952	963		10.1002/cber.19410740616		12	Chemistry, Multidisciplinary	Chemistry	V17ZZ	WOS:000201216700015		
J	Ochiai, E; Ito, Y				Ochiai, E; Ito, Y			Synthesis of the oxy-derivatives of 2-methyl-pyridine-dicarbonic acid-(3.5)-ester	BERICHTE DER DEUTSCHEN CHEMISCHEN GESELLSCHAFT			German	Article									Univ Tokio, Inst Pharmazeut, Tokio, Japan								0	5	5	GESELLSCHAFT DEUTSCHER CHEMIKER E V	FRANKFURT	VARRENTRAPPSTRASSE 40-42, D-60486 FRANKFURT, GERMANY	0365-9496			BER DTSCH CHEM GES			1941	74		2				1111	1114		10.1002/cber.19410740706		4	Chemistry, Multidisciplinary	Chemistry	V17ZZ	WOS:000201216700041		
J	Ochiai, E; Miyaki, K				Ochiai, E; Miyaki, K			The synthesis of 1.8-naphthryridine-homologs and their hydrogenation	BERICHTE DER DEUTSCHEN CHEMISCHEN GESELLSCHAFT			German	Article									Univ Tokio, Inst Pharmazeut, Tokio, Japan							OCHIAI E, 1938, J PHARM SOC JAPAN, V58, P207; OCHIAI E, 1939, J PHARM SOC JAPAN, V59, P153; 1936, B SOC CHIM FRANCE, V3, P2279; 1926, J PHARM SOC JAPAN, P564	4	4	4	GESELLSCHAFT DEUTSCHER CHEMIKER E V	FRANKFURT	VARRENTRAPPSTRASSE 40-42, D-60486 FRANKFURT, GERMANY	0365-9496			BER DTSCH CHEM GES			1941	74		2				1115	1126		10.1002/cber.19410740707		12	Chemistry, Multidisciplinary	Chemistry	V17ZZ	WOS:000201216700042		
J	Ishidate, M; Sano, T				Ishidate, M; Sano, T			Concerning the formation of d-santenone from pi-oxocamphor and the configuration of santenone and santonic acid respectively	BERICHTE DER DEUTSCHEN CHEMISCHEN GESELLSCHAFT			German	Article									Univ Tokio, Inst Pharmazeut, Tokio, Japan							EEGRIWE E, 1937, Z ANAL CHEM, V110, P22, DOI 10.1007/BF01392026; ENKVIST, 1933, J PRAKT CHEM, V137, P261; FEIGL, 1938, QUALITATIVE ANAL HIL, P431; ISHIDATE, 1939, P IMP ACAD TOKYO, V15, P353; ISHIDATE, 1939, P IMP ACAD TOKYO, V15, P357; TAMURA, 1935, P IMP ACAD TOKYO, V11, P161; TAMURA, 1935, ARCH INT PHARMACODYN, V52, P326; 1936, Patent No. 11695	8	1	1	GESELLSCHAFT DEUTSCHER CHEMIKER E V	FRANKFURT	VARRENTRAPPSTRASSE 40-42, D-60486 FRANKFURT, GERMANY	0365-9496			BER DTSCH CHEM GES			1941	74		2				1189	1194		10.1002/cber.19410740712		6	Chemistry, Multidisciplinary	Chemistry	V17ZZ	WOS:000201216700047		
J	Sugasawa, S; Kodama, K				Sugasawa, S; Kodama, K			Studies on the synthesis on dibenzo-indolizin derivatives (I). Synthesis of 4 '.5 '.4 ''.5 ''-tetramethoxy-3.8.4.7.tetrahydro-[1 '.2 ': 1.2; 1 ''.2 '': 5.6-dibenzo-indolizin].	BERICHTE DER DEUTSCHEN CHEMISCHEN GESELLSCHAFT			German	Article									Univ Tokio, Inst Pharmazeut, Tokio, Japan							1940, J PRAKT CHEM, V156, P195; 1932, J CHEM SOC LONDON, P789	2	2	2	GESELLSCHAFT DEUTSCHER CHEMIKER E V	FRANKFURT	VARRENTRAPPSTRASSE 40-42, D-60486 FRANKFURT, GERMANY	0365-9496			BER DTSCH CHEM GES			1941	74		2				1237	1241		10.1002/cber.19410740718		5	Chemistry, Multidisciplinary	Chemistry	V17ZZ	WOS:000201216700053		
J	Ochiai, E; Nishizawa, T				Ochiai, E; Nishizawa, T			Review of benzthiozoles.	BERICHTE DER DEUTSCHEN CHEMISCHEN GESELLSCHAFT			German	Article									Univ Tokio, Inst Pharmazeut, Tokio, Japan							FUHNER H, 1906, ARCH PHARM, V244, P604; I G FARBENINDUSTRIE, Patent No. 66790; OCHIAI E, 1940, J PHARM SOC JAPAN, V60, P43; REUSHAW RR, 1939, J AM CHEM SOC, V61, P3323; WEBER HM, 1938, HELV CHIM ACTA, V21, P863; WEBER HM, 1938, HELV CHIM ACTA, V21, P1017; 1939, J PHARM SOC JAPAN, V59, P43; 1940, J PHARM SOC JAPAN, V60, P98; 1937, J PHARM SOC JAPAN, V57, P249; 1940, HELV CHIM ACTA, V23, P1269; 1940, HELV CHIM ACTA, V23, P1271	11	1	1	GESELLSCHAFT DEUTSCHER CHEMIKER E V	FRANKFURT	VARRENTRAPPSTRASSE 40-42, D-60486 FRANKFURT, GERMANY	0365-9496			BER DTSCH CHEM GES			1941	74		2				1407	1415		10.1002/cber.19410740809		9	Chemistry, Multidisciplinary	Chemistry	V17ZZ	WOS:000201216700075		
J	Ishidate, M; Kawahata, H; Nakazawa, K				Ishidate, M; Kawahata, H; Nakazawa, K			The disintegration of p-diketo camphans in animal organisms and the synthesis of beta-cycloisoketopin acid.	BERICHTE DER DEUTSCHEN CHEMISCHEN GESELLSCHAFT			German	Article									Univ Tokio, Inst Pharmazeut, Tokio, Japan								0	5	5	GESELLSCHAFT DEUTSCHER CHEMIKER E V	FRANKFURT	VARRENTRAPPSTRASSE 40-42, D-60486 FRANKFURT, GERMANY	0365-9496			BER DTSCH CHEM GES			1941	74		2				1707	1711		10.1002/cber.19410741018		5	Chemistry, Multidisciplinary	Chemistry	V17ZZ	WOS:000201216700128		
