PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Kindaichi, K				Kindaichi, Kyosuke			THE CONCEPTS BEHIND THE AINU BEAR FESTIVAL (KUMAMATSURI)	SOUTHWESTERN JOURNAL OF ANTHROPOLOGY			English	Article									Univ Tokyo, Tokyo, Japan								0	1	2	UNIV NEW MEXICO	ALBUQUERQUE	DEPT ANTHROPOLOGY, ALBUQUERQUE, NM 87131-1561 USA	0038-4801			SOUTHWEST J ANTHROP	Southwest. J. Anthropol.	WIN	1949	5	4					345	350				6	Anthropology	Anthropology	V48AO	WOS:000203246200004		
J	Ikeuchi, H				Ikeuchi, Hajime			A TREATISE ON THE FOUNDATIONS OF SOCIAL-PSYCHOLOGY	JAPANESE JOURNAL OF PSYCHOLOGY			Japanese	Article									Univ Tokyo, Dept Psychol, Tokyo, Japan							SHERIFF M, 1946, PSYCHOL REV, P1; SHERIFF M, PSYCHOL REV; SHERIFF M, 1945, PSYCHOL REV, P293; YOUNG K, SOCIAL PSYCHOL, P570	4	0	0	JAPANESE PSYCHOLOGICAL ASSOC	TOKYO	5-23-13-7F, HONGO, BUNKYO-KU, TOKYO, 113-0033, JAPAN	0021-5236			JPN J PSYCHOL	Jpn. J. Psychol.		1949	20	1					22	29				8	Psychology; Psychology, Multidisciplinary	Psychology	V99PL	WOS:000206732500003		
J	Tsukishima, K				Tsukishima, Kenzo			A STUDY OF SYMBOLISM	JAPANESE JOURNAL OF PSYCHOLOGY			Japanese	Article									Univ Tokyo, Inst Oriental Culture, Tokyo, Japan							ADRIANI N, 1912, BAREE SPREKENDE TORA, V1; ALLPORT GW, 1947, PSYCHOL REV, V54, P182, DOI 10.1037/h0059200; Cassirer E., 1944, ESSAY MAN INTRO PHIL; HELSON H, 1946, AM J PSYCHOL, V59; HELSON H, AM J PSYCHOL, P468; Hooton E. A., 1947, APE; KRUYT AC, 1932, TIJDSCHRIFT VOORTAAL, V72; Mead George H., 1922, J PHILOS, V19, P157, DOI 10.2307/2939827; MORGAN E, INTRO L CRANES; SAINTYVES P, 1920, ORIGINES MED; SAPIR E, 1948, ENCY SOCIAL SCI, V13, P492; SEWARD JP, 1948, PSYCHOL REV, V55, P277, DOI 10.1037/h0053663; WHITE LESLIE A., 1940, PHILOSOPHY OF SCIENCE, V7, P451, DOI 10.1086/286655; White LA, 1942, J COMP PSYCHOL, V34, P369, DOI 10.1037/h0060526	14	0	0	JAPANESE PSYCHOLOGICAL ASSOC	TOKYO	5-23-13-7F, HONGO, BUNKYO-KU, TOKYO, 113-0033, JAPAN	0021-5236			JPN J PSYCHOL	Jpn. J. Psychol.		1949	20	1					30	38				9	Psychology; Psychology, Multidisciplinary	Psychology	V99PL	WOS:000206732500004		
