22,9,40
85,80,82
10,67,63
6,11,8
76,101,78
88,101,103
76,101,78
19,130,58
46,54,72
11,6,8
101,88,76
9,22,40
101,88,76
54,59,81
46,11,6
88,86,101
24,67,46
22,6,9
35,74,21
97,101,102
73,30,31
11,30,62
24,59,67
11,6,46
42,57,52
88,86,101
6,76,22
75,88,80
97,101,88
11,6,56
17,61,15
11,6,26
97,94,111
88,101,97
58,62,43
56,101,76
6,8,42
56,18,35
76,89,54
94,97,81
75,80,82
76,88,101
101,97,13
71,30,62
101,88,76
76,54,6
0,61,72
40,9,56
3,42,10
97,88,101
46,45,67
53,42,49
97,88,76
97,88,105
10,71,63
46,54,42
46,67,63
54,76,6
76,101,88
88,101,76
88,76,101
30,54,1
81,88,76
76,88,89
46,67,71
67,24,46
76,97,101
76,88,101
42,68,5
11,6,9
86,97,88
19,0,56
46,63,67
97,101,76
10,55,71
10,67,63
56,6,26
6,11,76
76,101,88
86,97,88
49,67,46
0,80,91
10,67,59
57,42,24
130,94,81
29,10,46
101,88,86
88,75,76
76,88,6
30,17,26
81,88,94
97,101,105
78,96,101
88,101,76
94,88,97
42,54,8
88,59,97
54,55,10
42,67,48
76,6,22
97,19,96
42,11,26
48,42,67
97,101,100
6,54,39
79,80,97
88,76,101
46,67,24
97,94,111
76,78,101
19,68,21
10,67,59
76,6,101
88,101,105
42,54,6
56,11,6
6,76,54
59,53,52
68,54,62
80,79,83
88,75,76
88,76,110
35,19,20
76,54,89
19,0,80
6,42,8
105,97,101
88,105,100
46,54,59
97,111,94
76,101,22
54,46,76
86,88,100
97,96,94
46,24,67
17,46,11
97,100,94
88,101,97
31,40,73
67,10,42
97,101,105
21,35,74
80,79,97
97,76,96
76,6,97
42,47,67
97,111,94
76,6,89
46,52,29
76,89,97
100,88,86
42,6,11
80,79,75
46,6,26
101,97,76
101,97,103
97,81,94
56,0,19
88,81,75
101,105,97
49,26,42
94,143,97
30,11,6
10,71,67
24,44,6
88,97,101
25,58,64
46,45,58
71,10,17
25,62,48
67,42,59
42,94,97
97,94,111
46,52,67
27,60,48
80,82,0
88,100,110
19,44,68
75,88,80
101,76,88
57,42,58
46,71,67
46,6,11
88,101,97
101,78,76
58,143,130
53,3,45
47,76,54
88,101,110
11,6,15
26,9,73
82,80,19
76,56,6
42,27,62
46,24,59
59,13,97
46,11,54
88,101,97
46,52,11
76,88,101
22,0,9
88,75,100
59,46,67
22,54,6
67,10,59
22,9,6
75,88,81
75,80,82
102,97,81
54,68,6
46,71,24
76,88,101
46,59,71
46,52,11
88,110,75
94,97,81
55,6,42
29,46,24
75,88,110
88,76,101
76,88,6
75,88,100
76,89,88
11,6,46
88,75,81
97,102,94
19,91,97
143,57,42
97,94,76
42,97,75
76,97,89
101,97,88
80,79,97
59,76,53
94,86,97
97,88,101
88,75,86
76,54,101
97,101,76
67,24,59
80,97,19
76,88,101
76,89,101
10,67,48
76,88,101
88,76,101
46,45,24
42,57,10
10,63,59
76,89,88
46,52,67
76,54,6
101,97,103
105,102,100
97,81,94
97,88,81
10,71,54
76,54,6
30,62,42
88,75,81
88,76,101
97,88,96
24,67,62
105,88,101
57,143,42
105,97,96
54,24,62
88,110,86
76,54,89
54,46,29
68,19,26
76,101,89
97,88,80
46,67,24
6,8,54
3,64,71
65,60,55
10,71,30
74,5,143
112,88,94
76,97,89
47,54,25
111,97,94
81,88,76
101,88,77
42,10,57
79,80,83
76,6,101
88,75,76
47,54,10
46,11,42
76,86,6
14,54,76
143,42,57
67,24,42
24,40,46
76,101,97
81,88,75
11,13,6
58,44,17
6,9,40
67,59,25
55,65,60
62,10,11
76,54,6
97,102,101
11,6,46
6,11,97
9,6,22
97,96,76
101,88,76
67,59,24
14,26,11
101,76,88
76,54,6
10,97,76
88,75,76
94,81,88
24,52,67
81,88,94
85,82,80
76,101,54
24,67,59
0,19,91
76,97,96
96,76,97
6,26,11
80,97,0
27,57,60
19,80,97
10,55,42
97,101,88
76,72,33
88,105,100
10,67,59
86,88,100
46,30,54
29,46,71
75,88,76
46,53,26
22,9,40
71,67,42
46,6,11
130,81,106
6,76,56
0,56,6
56,0,6
46,62,54
47,67,49
9,6,76
35,20,26
88,76,86
19,54,68
42,6,54
19,82,85
6,9,76
94,97,130
76,101,97
6,76,54
67,53,45
71,46,62
18,74,35
27,58,44
6,11,30
88,75,101
6,8,11
88,101,97
42,6,8
88,101,97
76,6,101
6,26,9
97,76,88
97,102,96
42,54,3
97,80,79
75,80,82
6,11,76
71,44,54
13,97,19
82,97,80
97,101,88
65,48,60
54,31,29
81,94,97
76,88,101
88,76,101
42,53,25
88,75,76
54,68,19
88,97,101
88,76,101
42,54,11
76,101,78
6,76,54
13,59,46
88,75,81
6,76,54
47,42,59
97,80,102
89,76,101
19,97,96
101,88,11
67,49,46
101,89,76
19,0,56
97,94,130
101,76,103
75,88,82
6,11,8
76,54,97
57,58,27
42,59,10
88,76,75
76,88,101
76,101,78
17,11,0
88,101,76
10,16,25
88,75,76
86,88,76
76,101,97
71,46,17
105,88,76
101,76,103
97,88,101
94,143,19
101,76,88
76,6,54
74,0,21
40,31,30
53,57,42
54,17,6
53,29,46
76,101,6
11,9,6
40,26,56
75,82,79
97,76,94
10,11,6
59,67,24
24,67,86
143,42,94
10,71,53
101,88,97
78,96,97
56,19,0
88,110,75
22,9,76
97,105,96
6,8,11
80,79,85
101,97,102
46,71,59
22,54,76
30,6,11
86,97,88
97,94,111
19,82,97
88,97,101
88,75,86
59,10,63
76,101,97
76,6,8
33,58,59
97,111,86
11,6,29
88,76,86
71,55,72
6,54,8
64,9,47
78,76,101
19,0,56
45,53,29
0,26,56
22,76,54
67,24,46
52,11,62
42,54,17
44,17,10
24,62,67
76,101,110
60,65,27
76,81,11
22,9,54
11,15,74
46,11,52
78,96,88
30,14,26
10,67,42
97,101,89
88,105,97
67,64,48
27,58,25
81,88,76
75,80,79
64,71,25
48,64,17
81,76,88
76,6,22
6,9,8
76,81,74
67,42,97
76,6,9
54,68,76
76,101,6
26,53,42
10,67,63
75,88,86
88,101,97
88,76,101
81,88,130
46,30,62
75,88,82
11,0,61
56,22,6
76,97,22
94,130,81
54,76,6
97,96,94
19,130,97
97,88,100
76,101,88
68,62,54
6,9,40
76,88,101
130,19,94
105,88,100
88,102,97
33,42,54
97,101,105
111,97,86
76,101,78
76,81,88
31,54,53
19,56,23
101,97,78
25,63,3
101,88,103
96,101,97
88,76,75
10,67,53
42,11,15
143,105,42
130,19,143
54,76,44
61,0,72
143,130,58
63,67,10
11,97,9
