[76],[2]
[76],[2]
"[101, 88]",[3]
"[101, 88]",[3]
"[101, 88]",[3]
"[101, 88]",[3]
"[101, 88]",[3]
"[76, 78, 100]",[2]
"[76, 78, 100]",[2]
"[76, 78, 100]",[2]
"[76, 78, 100]",[2]
"[76, 78, 100]",[2]
"[76, 78, 100]",[2]
"[76, 78, 100]",[2]
"[76, 78, 100]",[2]
"[76, 78, 100]",[2]
"[76, 78, 100]",[2]
"[76, 101, 88]",[2]
"[76, 101, 88]",[2]
"[97, 19]",[3]
"[97, 19]",[3]
"[97, 19]",[3]
"[6, 42]",[1]
"[6, 42]",[1]
[76],[2]
[76],[2]
[76],[2]
"[95, 97, 101]",[3]
"[95, 97, 101]",[3]
"[95, 97, 101]",[3]
"[42, 57]",[1]
[54],[1]
[54],[1]
"[6, 76, 110]",[1]
"[78, 96]",[2]
"[78, 96]",[2]
"[94, 97, 106]",[3]
"[94, 97, 106]",[3]
"[76, 54]",[2]
"[76, 54]",[2]
"[76, 54]",[2]
"[76, 54]",[2]
"[76, 54]",[2]
"[76, 54]",[2]
[46],[1]
"[0, 19]",[1]
[88],[2]
"[76, 97]",[2]
[79],[2]
[79],[2]
[101],[3]
[101],[3]
[101],[3]
[101],[3]
[101],[3]
[101],[3]
"[76, 101, 103]",[2]
"[76, 101, 103]",[2]
"[76, 101, 103]",[2]
"[76, 101, 103]",[2]
"[76, 101, 103]",[2]
"[76, 101, 103]",[2]
"[75, 88]",[2]
"[75, 88]",[2]
[19],[1]
[0],[1]
[0],[1]
[76],[2]
[80],[2]
[88],[2]
[42],[1]
[97],[3]
[97],[3]
[97],[3]
[56],[1]
"[76, 78, 96]",[2]
"[76, 78, 96]",[2]
[88],[2]
"[94, 102]",[3]
"[100, 105, 88, 110]",[3]
"[100, 105, 88, 110]",[3]
[46],[1]
"[76, 85]",[2]
[78],[2]
[78],[2]
[78],[2]
"[107, 98]",[3]
[9],[1]
[76],[2]
[76],[2]
[76],[2]
"[78, 96]",[2]
"[78, 96]",[2]
"[48, 64]",[1]
[67],[1]
[6],[1]
"[6, 76]",[1]
[88],[2]
"[86, 88]",[2]
"[86, 88]",[2]
[88],[2]
[88],[2]
[24],[1]
[30],[1]
[42],[1]
[56],[1]
[76],[2]
[88],[2]
[88],[2]
[88],[2]
"[75, 88]",[2]
[88],[2]
[88],[2]
[88],[2]
[88],[2]
[97],[3]
[97],[3]
[97],[3]
[97],[3]
[97],[3]
[97],[3]
[97],[3]
[42],[1]
[42],[1]
[42],[1]
[97],[3]
[97],[3]
"[75, 88]",[2]
"[75, 88]",[2]
"[75, 88]",[2]
"[75, 88]",[2]
"[75, 88]",[2]
"[75, 88]",[2]
"[75, 88]",[2]
"[75, 88]",[2]
"[75, 88]",[2]
"[75, 88]",[2]
"[75, 88]",[2]
"[75, 88]",[2]
"[75, 88]",[2]
[46],[1]
[97],[3]
[42],[1]
[88],[2]
[88],[2]
"[75, 88]",[2]
"[75, 88]",[2]
"[75, 88]",[2]
[88],[2]
[76],[2]
[76],[2]
[76],[2]
"[16, 67]",[1]
"[46, 67]",[1]
"[54, 68]",[1]
"[76, 88]",[2]
[42],[1]
[42],[1]
[42],[1]
[42],[1]
[42],[1]
[89],[2]
[89],[2]
[76],[2]
[76],[2]
"[130, 106]",[5]
"[130, 106]",[5]
"[75, 80, 82]",[2]
[54],[1]
"[55, 63]",[1]
[76],[2]
[76],[2]
[76],[2]
[76],[2]
[6],[1]
"[6, 54, 76]",[1]
